epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.83338,2.84474,6.4596,2.67791,0,0,0,0,1.69917,4.41381,1.82529,0,0,0
2,13.4924,2.5204,6.3675,2.44935,0,0,0,0,1.68899,4.4241,1.82994,1.63399e-05,1.63399e-05,1.63399e-05
3,20.0788,2.62388,6.31126,2.50507,0,0,0,0,1.67608,4.42632,1.82428,3.20197e-05,3.20197e-05,3.20197e-05
4,26.9202,2.65886,6.32673,2.60625,0,0,0,0,1.63328,4.39957,1.81753,4.70394e-05,4.70394e-05,4.70394e-05
5,33.3525,2.18423,5.45967,2.19444,0,0,0,0,1.56377,4.3628,1.79453,6.13989e-05,6.13989e-05,6.13989e-05
6,39.9508,2.19973,5.61262,2.10179,0,0,0,0,1.4801,4.29008,1.76549,7.50984e-05,7.50984e-05,7.50984e-05
7,46.3238,1.85897,4.49687,1.94885,0,0,0,0,1.38946,4.23564,1.72835,8.81376e-05,8.81376e-05,8.81376e-05
8,53.0652,2.19036,5.05932,2.10511,0.07692,0.5,0.08149,0.02445,1.37539,4.21365,1.70628,0.000100517,0.000100517,0.000100517
9,59.7893,2.14419,3.8917,2.33328,0.13333,1,0.398,0.12464,1.35656,4.04357,1.66409,0.000112236,0.000112236,0.000112236
10,66.2336,1.80357,3.35169,2.06497,0.08333,1,0.4975,0.14774,1.3294,3.85019,1.59173,0.000123295,0.000123295,0.000123295
11,72.7808,1.68289,3.47542,1.87939,0.06061,1,0.66333,0.20391,1.31156,3.64492,1.52444,0.000133693,0.000133693,0.000133693
12,79.9509,1.49946,2.66119,1.90474,0.15875,1,0.82833,0.31256,1.2581,3.3712,1.44659,0.000143432,0.000143432,0.000143432
13,86.1507,1.60959,3.05546,1.69476,0.75512,1,0.995,0.41144,1.29908,2.96813,1.44849,0.00015251,0.00015251,0.00015251
