epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
14,92.3726,1.25459,2.70034,1.49528,0.92142,1,0.995,0.45191,1.25573,2.64343,1.39271,0.000160929,0.000160929,0.000160929
15,98.9444,1.36854,2.32645,1.59255,0.93617,1,0.995,0.44072,1.21559,2.48134,1.34989,0.000168687,0.000168687,0.000168687
16,105.239,1.38344,2.52336,1.43644,0.92441,1,0.995,0.38612,1.17843,2.41007,1.31251,0.000175785,0.000175785,0.000175785
17,112.029,1.10043,2.38627,1.35073,0.91041,1,0.995,0.43948,1.1687,2.4126,1.29575,0.000182223,0.000182223,0.000182223
18,118.188,1.16133,1.91784,1.44309,0.91041,1,0.995,0.43948,1.1687,2.4126,1.29575,0.000188001,0.000188001,0.000188001
19,124.378,1.13873,2.2713,1.24046,0.87889,1,0.995,0.64694,1.14417,2.40454,1.27158,0.000193119,0.000193119,0.000193119
20,131.391,1.25906,2.30058,1.39528,0.87889,1,0.995,0.64694,1.14417,2.40454,1.27158,0.000197576,0.000197576,0.000197576
21,138.213,1.01794,2.09369,1.25961,0.84609,1,0.995,0.72145,1.0759,2.25877,1.23723,0.000201374,0.000201374,0.000201374
22,145.443,1.27508,2.27148,1.33067,0.84609,1,0.995,0.72145,1.0759,2.25877,1.23723,0.000204511,0.000204511,0.000204511
23,151.964,1.23682,2.65015,1.29706,1,0.93046,0.995,0.84572,1.02237,2.00869,1.20036,0.000206988,0.000206988,0.000206988
24,158.476,1.07363,1.78837,1.26028,1,0.93046,0.995,0.84572,1.02237,2.00869,1.20036,0.000208805,0.000208805,0.000208805
25,164.964,0.99132,1.52371,1.19343,1,0.91665,0.995,0.89548,0.99851,1.75548,1.16641,0.000209962,0.000209962,0.000209962
26,172.607,1.04215,1.79758,1.13614,1,0.91665,0.995,0.89548,0.99851,1.75548,1.16641,0.000210459,0.000210459,0.000210459
27,180.19,0.97594,1.52357,1.183,0.98933,1,0.995,0.69759,1.00969,1.64732,1.15319,0.000210295,0.000210295,0.000210295
28,186.743,0.88157,1.70932,1.03403,0.98933,1,0.995,0.69759,1.00969,1.64732,1.15319,0.000209472,0.000209472,0.000209472
29,193.623,1.0279,1.68436,1.12312,0.9969,1,0.995,0.74637,1.08102,1.52095,1.20298,0.000207988,0.000207988,0.000207988
30,200.21,0.81209,1.19673,1.08397,0.9969,1,0.995,0.74637,1.08102,1.52095,1.20298,0.000205844,0.000205844,0.000205844
31,206.807,0.90263,1.60592,1.05854,1,0.93625,0.995,0.57638,1.15933,1.76971,1.25441,0.000203041,0.000203041,0.000203041
32,213.036,1.12945,1.51744,1.20743,1,0.93625,0.995,0.57638,1.15933,1.76971,1.25441,0.000199577,0.000199577,0.000199577
33,219.821,1.10234,1.71265,1.01733,1,0.95459,0.995,0.60951,1.17483,2.06368,1.25749,0.000195452,0.000195452,0.000195452
34,226.109,0.89356,1.3627,1.07957,1,0.95459,0.995,0.60951,1.17483,2.06368,1.25749,0.000190668,0.000190668,0.000190668
35,232.243,0.89516,1.10663,1.06982,1,0.95303,0.995,0.60958,1.12958,2.0034,1.25244,0.000185224,0.000185224,0.000185224
36,238.886,1.12261,1.30134,1.18631,1,0.95303,0.995,0.60958,1.12958,2.0034,1.25244,0.000179119,0.000179119,0.000179119
37,245.781,0.96372,1.09751,1.09028,0.9988,1,0.995,0.64702,1.10131,1.71687,1.21029,0.000172354,0.000172354,0.000172354
38,252.287,0.96733,1.10696,1.15085,0.9988,1,0.995,0.64702,1.10131,1.71687,1.21029,0.00016493,0.00016493,0.00016493
39,258.637,0.89225,1.15626,1.00778,1,0.96189,0.995,0.79659,0.98629,1.41055,1.13832,0.000156845,0.000156845,0.000156845
40,265.086,0.82595,1.19953,1.07463,1,0.96189,0.995,0.79659,0.98629,1.41055,1.13832,0.0001481,0.0001481,0.0001481
41,271.807,0.82127,1.36591,0.98415,1,0.97564,0.995,0.79656,0.88128,1.22997,1.10055,0.000138694,0.000138694,0.000138694
42,278.294,0.82151,1.41481,1.09196,1,0.97564,0.995,0.79656,0.88128,1.22997,1.10055,0.000128629,0.000128629,0.000128629
43,285.582,0.73021,1.26104,0.84149,1,0.98352,0.995,0.79671,0.82638,1.16997,1.08392,0.000117904,0.000117904,0.000117904
44,292.409,0.91631,1.25602,1.06051,1,0.98352,0.995,0.79671,0.82638,1.16997,1.08392,0.000106518,0.000106518,0.000106518
45,299.22,0.76795,1.19241,0.99992,1,0.98273,0.995,0.79678,0.80743,1.21813,1.07723,9.44722e-05,9.44722e-05,9.44722e-05
46,305.764,0.63941,1.04957,0.90075,1,0.98273,0.995,0.79678,0.80743,1.21813,1.07723,8.17663e-05,8.17663e-05,8.17663e-05
47,312.323,0.90315,1.32024,1.06307,1,0.97979,0.995,0.79684,0.81285,1.28351,1.08124,6.84003e-05,6.84003e-05,6.84003e-05
48,318.909,0.87835,1.20108,1.14035,1,0.97979,0.995,0.79684,0.81285,1.28351,1.08124,5.43742e-05,5.43742e-05,5.43742e-05
49,325.792,0.79304,1.24739,0.90538,1,0.9781,0.995,0.79692,0.823,1.31834,1.08893,3.96879e-05,3.96879e-05,3.96879e-05
50,332.414,0.88775,1.30197,1.09716,1,0.9781,0.995,0.79692,0.823,1.31834,1.08893,2.43415e-05,2.43415e-05,2.43415e-05
