epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.9442,1.37277,4.08271,1.51938,0,0,0,0,0,13.7826,0,1.111e-05,1.111e-05,1.111e-05
2,56.7084,1.35722,3.79431,1.46262,0,0,0,0,0,13.7702,0,3.26701e-05,3.26701e-05,3.26701e-05
3,83.9834,1.31598,3.69405,1.42128,0,0,0,0,0,14.6172,0,5.33502e-05,5.33502e-05,5.33502e-05
4,110.787,1.25601,3.27136,1.38916,0,0,0,0,0,18.0517,0,7.31505e-05,7.31505e-05,7.31505e-05
5,137.587,1.25175,3.11322,1.34728,0,0,0,0,0,24.6679,0,9.20708e-05,9.20708e-05,9.20708e-05
6,167.151,1.143,2.74247,1.28639,0,0,0,0,0,38.4073,0,0.000110111,0.000110111,0.000110111
7,194.248,1.05799,2.27955,1.24558,0,0,0,0,0,55.5764,0,0.000127272,0.000127272,0.000127272
8,221.67,1.04538,1.94735,1.23009,0,0,0,0,0,58.5961,0,0.000143552,0.000143552,0.000143552
9,253.037,1.02177,1.62809,1.17264,0,0,0,0,0,55.6244,0,0.000158953,0.000158953,0.000158953
10,279.449,0.93589,1.5305,1.17064,0,0,0,0,0,53.9092,0,0.000173474,0.000173474,0.000173474
11,307.164,0.94069,1.54189,1.16944,0,0,0,0,0,51.9586,0,0.000187115,0.000187115,0.000187115
12,333.771,0.90164,1.40691,1.09212,0,0,0,0,0,49.8892,0,0.000199876,0.000199876,0.000199876
13,361.034,0.98432,1.63853,1.20338,0,0,0,0,0,46.4943,0,0.000211757,0.000211757,0.000211757
14,388.57,1.00454,1.43624,1.15026,0,0,0,0,0,40.9821,0,0.000222758,0.000222758,0.000222758
15,415.266,0.92651,1.18682,1.0964,0,0,0,0,0,34.4793,0,0.000232879,0.000232879,0.000232879
